201,162,207,229
208,162,223,229
224,162,239,229
240,162,255,229
256,162,271,229
272,162,287,229
288,162,303,229
304,162,319,229
320,162,335,229
336,162,351,229
352,162,367,229
368,162,383,229
384,162,399,229
400,162,415,229
416,162,431,229
432,162,447,229
448,162,463,229
464,162,479,229
480,162,495,229
496,162,511,229
512,162,527,229
564,162,575,214
576,162,591,214
592,162,607,214
608,162,623,214
624,162,639,214
81,253,95,307
96,253,111,307
112,253,127,307
128,253,143,307
144,253,159,307
160,253,175,307
176,253,191,307
192,253,207,307
208,253,223,307
224,253,239,307
240,253,255,307
256,253,271,307
272,253,287,307
288,253,303,307
304,253,319,307
320,253,335,307
336,253,351,307
352,253,367,307
368,253,383,307
384,253,399,307
400,253,415,307
416,253,431,307
432,253,447,307
448,253,463,307
502,252,511,302
512,252,527,302
528,252,543,302
544,252,559,302
560,252,575,302
576,252,591,302
592,252,607,302
608,252,623,302
91,343,95,395
96,343,111,395
112,343,127,395
128,343,143,395
144,343,159,395
160,343,175,395
176,343,191,395
192,343,207,395
208,343,223,395
224,343,239,395
240,343,255,395
256,343,271,395
272,343,287,395
288,343,303,395
304,343,319,395
320,343,335,395
336,343,351,395
352,343,367,395
368,343,383,395
384,343,399,395
400,343,415,395
416,343,431,395
432,343,447,395
448,343,463,395
464,343,479,395
480,343,495,395
